,Unnamed: 0,compound,flashpoint,pure substance,smiles,source
0,0,1-Chlorobutane,262.1,1,CCCCCl,carroll15
1,1,1-Chloro-3-methylbutane,289.2,1,CC(C)CCCl,carroll15
2,2,1-Chloro-2-methylbutane,283.0,1,CCC(C)CCl,carroll15
3,3,1-Chloropentane,284.3,1,CCCCCCl,carroll15
4,4,"1-Chloro-3,3-dimethylbutane",292.2,1,CC(C)(C)CCCl,carroll15
5,5,"1-Chloro-2,2-dimethylbutane",292.2,1,CCC(C)(C)CCl,carroll15
6,6,3-(Chloromethyl)pentane,298.2,1,CCC(CC)CCl,carroll15
7,7,1-Chloro-2-ethylbutane,298.2,1,CCC(CC)CCl,carroll15
8,8,1-Chloro-2-methylpentane,298.2,1,CCCC(C)CCl,carroll15
9,9,1-Chloro-3-methylpentane,298.2,1,CCC(C)CCCl,carroll15
10,10,1-Chlorohexane,299.9,1,CCCCCCCl,carroll15
11,11,1-Chloro-3-methylhexane,312.4,1,CCCC(C)CCCl,carroll15
12,12,1-Chloroheptane,314.9,1,CCCCCCCCl,carroll15
13,13,1-Chloro-5-methylheptane,325.7,1,CCC(C)CCCCCl,carroll15
14,14,1-Chlorooctane,334.2,1,CCCCCCCCCl,carroll15
15,15,1-Chlorodecane,356.2,1,CCCCCCCCCCCl,carroll15
16,16,1-Chloroundecane,367.6,1,CCCCCCCCCCCCl,carroll15
17,17,1-Chlorododecane,377.7,1,CCCCCCCCCCCCCl,carroll15
18,18,1-Chlorotetradecane,403.2,1,CCCCCCCCCCCCCCCl,carroll15
19,19,1-Chlorohexadecane,411.3,1,CCCCCCCCCCCCCCCCCl,carroll15
20,20,1-Chloroheptadecane,418.4,1,CCCCCCCCCCCCCCCCCCl,carroll15
21,21,1-Chlorooctadecane,457.2,1,CCCCCCCCCCCCCCCCCCCl,carroll15
22,22,3-Chloropentane,283.0,1,CCC(Cl)CC,carroll15
23,23,3-Chloro-2-methylpentane,294.0,1,CCC(Cl)C(C)C,carroll15
24,24,2-Chloro-4-methylpentane,294.0,1,CC(C)CC(C)Cl,carroll15
25,25,2-Chlorohexane,298.2,1,CCCCC(C)Cl,carroll15
26,26,3-Chlorohexane,298.2,1,CCCC(Cl)CC,carroll15
27,27,2-Chloro-5-methylhexane,308.4,1,CC(C)CCC(C)Cl,carroll15
28,28,4-Chloroheptane,312.4,1,CCCC(Cl)CCC,carroll15
29,29,3-Chloroheptane,312.4,1,CCCCC(Cl)CC,carroll15
30,30,2-Chloroheptane,312.4,1,CCCCCC(C)Cl,carroll15
31,31,3-Chlorooctane,325.7,1,CCCCCC(Cl)CC,carroll15
32,32,2-Chlorononane,338.3,1,CCCCCCCC(C)Cl,carroll15
33,33,5-Chlorononane,338.3,1,CCCCC(Cl)CCCC,carroll15
34,34,(S)-6-Chloro-2-methylnonane,346.9,1,CCC[C@H](Cl)CCCC(C)C,carroll15
35,35,2-Chlorodecane,350.2,1,CCCCCCCCC(C)Cl,carroll15
36,36,2-Chlorododecane,372.7,1,CCCCCCCCCCC(C)Cl,carroll15
37,37,5-Chlorododecane,372.6,1,CCCCCCCC(Cl)CCCC,carroll15
38,38,5-Chlorotridecane,383.2,1,CCCCCCCCC(Cl)CCCC,carroll15
39,39,"2-Chloro-2,3-dimethylbutane",288.1,1,CC(C)C(C)(C)Cl,carroll15
40,40,3-Chloro-3-methylpentane,282.6,1,CCC(C)(Cl)CC,carroll15
41,41,2-Chloro-2-methylpentane,294.0,1,CCCC(C)(C)Cl,carroll15
42,42,"2-Chloro-2,4-dimethylpentane",302.9,1,CC(C)CC(C)(C)Cl,carroll15
43,43,3-Chloro-3-methylhexane,306.7,1,CCCC(C)(Cl)CC,carroll15
44,44,"2-Chloro-2,3-dimethylpentane",302.9,1,CCC(C)C(C)(C)Cl,carroll15
45,45,"2-Chloro-2,3,3-trimethylbutane",297.5,1,CC(C)(C)C(C)(C)Cl,carroll15
46,46,3-Chloro-3-ethylpentane,306.7,1,CCC(Cl)(CC)CC,carroll15
47,47,"2-Chloro-2,4,4-trimethylpentane",311.5,1,CC(C)(C)CC(C)(C)Cl,carroll15
48,48,"3-Chloro-2,3-dimethylhexane",316.7,1,CCCC(C)(Cl)C(C)C,carroll15
49,49,3-Chloro-3-methylheptane,320.3,1,CCCCC(C)(Cl)CC,carroll15
50,50,2-Chloro-2-methylheptane,320.3,1,CCCCCC(C)(C)Cl,carroll15
51,51,"3-Chloro-2,2,3-trimethylhexane",324.8,1,CCCC(C)(Cl)C(C)(C)C,carroll15
52,52,3-Chloro-3-ethylheptane,333.1,1,CCCCC(Cl)(CC)CC,carroll15
53,53,3-Chloro-3-methyloctane,333.1,1,CCCCCC(C)(Cl)CC,carroll15
54,54,"6-Chloro-2,6-dimethyloctane",342.0,1,CCC(C)(Cl)CCCC(C)C,carroll15
55,55,2-Chloro-2-methylnonane,345.3,1,CCCCCCCC(C)(C)Cl,carroll15
56,56,3-Chloro-3-methylnonane,345.3,1,CCCCCCC(C)(Cl)CC,carroll15
